Longitude,Latitude,layer_2,val,fid
125.1271002,34.0524182,신안250,73.0,79101
125.19414,34.6843768,신안250,77.0,85360
125.378067,34.6783556,신안250,36.0,48546
125.4103822,34.6450622,신안250,56.0,97526
125.4444213,34.7368902,신안250,79.0,46890
125.4637811,34.7306001,신안250,101.0,76538
125.468706,34.6517001,신안250,14.0,67252
125.4690635,34.2072271,신안250,32.0,48515
125.8535213,34.6179853,신안250,34.0,88977
125.9327628,34.7212122,신안250,164.0,18304
125.954597,34.7031079,신안250,88.0,103381
126.0084704,34.6128745,신안250,20.0,97154
126.0170321,34.74189,신안250,45.0,62400
126.0284706,35.0865244,신안250,40.0,63919
126.0388578,34.5955545,신안250,124.0,103515
126.0661081,34.8128368,신안250,39.0,75552
126.0696647,34.678091,신안250,34.0,50176
126.0884124,34.5847473,신안250,133.0,97398
126.0922075,34.8217969,신안250,90.0,99200
126.1038087,34.7000743,신안250,32.0,59660
126.1071864,35.0864667,신안250,235.0,35912
126.1074813,35.0864236,신안250,235.0,106260
126.1145745,34.8289262,신안250,129.0,3016
126.1413889,34.7845702,신안250,252.0,106881
126.1465327,35.0139122,신안250,0.0,103113
126.1474804,34.6403462,신안250,170.0,105196
126.1522321,35.04333,신안250,80.0,96228
126.1586569,35.0443317,신안250,103.0,100504
126.1692453,34.6899183,신안250,55.0,80121
126.1713417,35.0462731,신안250,30.0,92295
126.1736014,35.0871691,신안250,63.0,97878
126.174068,35.0767122,신안250,56.0,98208
126.1774163,34.8856474,신안250,55.0,66024
126.1791754,35.0962191,신안250,82.0,98289
126.1831511,35.0358089,신안250,50.0,96756
126.1859629,35.1022847,신안250,110.0,94656
126.1876376,35.0835547,신안250,30.0,99897
126.187695,35.100188,신안250,122.0,103638
126.1900921,35.0226355,신안250,31.0,64812
126.1902003,35.1394884,신안250,27.0,71484
126.1906505,35.0354802,신안250,56.0,90890
126.1910848,35.1405201,신안250,27.0,69607
126.1913146,35.0986252,신안250,113.0,97619
126.1971923,35.0927624,신안250,72.0,96954
126.1996632,35.1066142,신안250,55.0,80406
126.2037642,35.0901128,신안250,69.0,100098
126.2039203,35.1153348,신안250,26.0,45120
126.2079986,34.621501,신안250,20.0,50208
126.2134337,34.9596949,신안250,71.0,59204
126.2139466,35.099671,신안250,59.0,87720
126.220781,35.0918545,신안250,98.0,103224
126.2222404,34.9183156,신안250,9.0,64218
126.2231692,35.0989359,신안250,53.0,87733
126.2336572,35.0902672,신안250,37.0,99824
126.2337926,34.9342374,신안250,14.0,73344
126.2347146,35.0241636,신안250,8.0,74850
126.2385174,34.9187275,신안250,32.0,91800
126.2407397,35.0969119,신안250,37.0,66150
126.2415662,34.8527555,신안250,174.0,86298
126.2423003,35.0351994,신안250,88.0,97820
126.2428314,34.9169675,신안250,23.0,76195
126.2445974,34.850061,신안250,174.0,88044
126.2448382,35.0504674,신안250,141.0,98624
126.2455966,35.0562585,신안250,141.0,99562
126.2492086,34.952552,신안250,0.0,61400
126.2507273,35.0586283,신안250,144.0,102120
126.2526923,35.0505682,신안250,144.0,95810
126.2581125,34.9794746,신안250,71.0,83160
126.2591935,35.0296692,신안250,64.0,94976
126.2621132,34.9973294,신안250,34.0,79394
126.2641585,34.9873063,신안250,60.0,85500
126.2657893,34.843221,신안250,25.0,57418
126.2673659,34.9812934,신안250,71.0,70547
126.2673817,35.0356062,신안250,56.0,65208
126.2694135,34.9766249,신안250,44.0,59014
126.2695371,34.976943,신안250,44.0,56901
126.2705327,34.8579651,신안250,92.0,85232
126.2717004,34.8615799,신안250,92.0,75400
126.2839443,34.8600119,신안250,134.0,81324
126.2870363,34.9598884,신안250,54.0,63796
126.2872457,34.9598724,신안250,54.0,62033
126.2873325,34.9076351,신안250,33.0,67364
126.2918986,34.9438907,신안250,29.0,79352
126.2965087,34.8579353,신안250,140.0,87580
126.3024731,34.906729,신안250,49.0,98865
126.3035831,34.8763251,신안250,219.0,102340
126.3039058,34.8730731,신안250,311.0,103983
126.3256984,34.8990095,신안250,153.0,102644
126.3300341,34.9010557,신안250,170.0,103360
126.3321587,34.8946736,신안250,170.0,87039
126.3383854,34.8984283,신안250,150.0,92964
126.3385875,34.8518655,신안250,104.0,93025
126.342134,34.8250103,신안250,102.0,95256
126.3506495,34.8268422,신안250,121.0,104535
126.3512779,34.8609977,신안250,38.0,78234
126.3525474,34.8335723,신안250,142.0,102912
126.3573674,34.8403877,신안250,117.0,104121
126.3616687,34.8468201,신안250,88.0,97024
126.3656896,34.8741429,신안250,30.0,62853
126.3659823,34.8739999,신안250,30.0,63837
126.3783188,35.1608809,함평250,67.0,55800
126.3814939,35.1687513,함평250,55.0,57876
126.3906958,35.1526854,함평250,91.0,64670
126.3914506,35.1651282,함평250,38.0,74638
126.3926877,35.1377823,함평250,94.0,40464
126.3946664,35.1540774,함평250,115.0,76728
126.4035059,35.1381408,함평250,109.0,67740
126.4038715,35.1711673,함평250,37.0,72605
126.4078648,35.1549492,함평250,82.0,75375
126.4087319,35.1552274,함평250,82.0,99636
126.411034,35.1604384,함평250,61.0,77142
126.4141447,35.1455488,함평250,106.0,76636
126.4175541,35.1588662,함평250,75.0,77211
126.4180827,35.1516896,함평250,69.0,76704
126.4192504,35.1402824,함평250,210.0,76296
126.4203866,35.1249728,함평250,208.0,77586
126.4207101,35.126403,함평250,208.0,77452
126.423029,35.1693596,함평250,22.0,76160
126.423751,35.1320744,함평250,256.0,76560
126.4240236,35.1235357,함평250,202.0,75966
126.4250877,35.1270178,함평250,230.0,77519
126.4252432,35.1199048,함평250,213.0,79488
126.4254884,35.1197629,함평250,213.0,98124
126.4281366,35.1636431,함평250,22.0,77349
126.4282972,35.1119618,함평250,82.0,65436
126.4286797,35.1105566,함평250,75.0,63030
126.4291427,35.1098976,함평250,66.0,71400
126.4293522,35.1301503,함평250,232.0,78812
126.43261,35.1234325,함평250,190.0,75900
126.4421018,35.1374165,함평250,96.0,79557
126.4455003,35.1074305,함평250,53.0,57350
126.4483367,35.1759949,함평250,24.0,65184
126.4493585,35.083535,함평250,84.0,44000
126.4559748,35.1360393,함평250,22.0,76179
126.4569913,35.1353269,함평250,22.0,72832
126.4580908,35.1041707,함평250,79.0,56301
126.4587592,35.1838172,함평250,20.0,60424
126.4604769,35.120408,함평250,46.0,77792
126.4605073,35.170763,함평250,34.0,80592
126.4612289,35.0844298,함평250,125.0,70464
126.4613068,35.0787046,함평250,78.0,65549
126.4613937,35.0819632,함평250,107.0,93730
126.4614277,35.1650233,함평250,34.0,79492
126.4627998,35.1846671,함평250,20.0,62802
126.4630311,35.0953859,함평250,124.0,53753
126.463403,35.094984,함평250,169.0,53851
126.4636507,35.1452159,함평250,44.0,77112
126.463956,35.17876,함평250,33.0,79220
126.4640578,35.0926841,함평250,186.0,55998
126.466155,35.1135568,함평250,74.0,77860
126.46639,35.0992619,함평250,201.0,66178
126.4678568,35.1032932,함평250,157.0,69662
126.468469,35.1503181,함평250,40.0,76045
126.4694817,35.1314579,함평250,32.0,76313
126.4700164,35.1222092,함평250,71.0,78948
126.4707675,35.1692895,함평250,47.0,92544
126.4715138,35.0936851,함평250,185.0,71760
126.4715871,35.168896,함평250,47.0,77022
126.4731049,35.0395362,함평250,94.0,71346
126.4737373,35.0358829,함평250,62.0,69312
126.4738408,35.1393283,함평250,71.0,77248
126.4743039,35.1397956,함평250,71.0,98260
126.4747962,35.0967369,함평250,137.0,76107
126.4754481,35.0958852,함평250,137.0,76245
126.4757966,35.1104489,함평250,140.0,77724
126.4765631,35.1546357,함평250,77.0,79194
126.4769966,35.0664498,함평250,47.0,58914
126.4772149,35.173068,함평250,32.0,80454
126.4777343,35.0793266,함평250,138.0,72336
126.4779128,35.0358723,함평250,102.0,73576
126.478733,35.1885655,함평250,46.0,60840
126.4787443,35.0586417,함평250,96.0,56628
126.4793949,35.1823817,함평250,59.0,78524
126.4809484,35.1587756,함평250,82.0,81489
126.4813831,35.0492134,함평250,109.0,74796
126.4825363,35.0380042,함평250,111.0,96547
126.4827498,35.0375427,함평250,111.0,72360
126.4835643,35.0826373,함평250,145.0,75555
126.4835908,35.0557775,함평250,99.0,69760
126.4839701,35.0771802,함평250,145.0,73298
126.4839848,35.1085525,함평250,122.0,73834
126.4840516,35.1312938,함평250,66.0,75240
126.4843171,35.1118149,함평250,169.0,78672
126.485918,35.15013,함평250,140.0,81765
126.4860008,35.0470105,함평250,92.0,73780
126.4863069,35.12207,함평250,157.0,81124
126.4864019,35.0408944,함평250,103.0,71214
126.4872161,35.1360223,함평250,83.0,77350
126.4874051,35.1186839,함평250,160.0,79797
126.4884847,35.1853635,함평250,46.0,63234
126.4895783,35.0252154,함평250,64.0,78058
126.4899344,35.0779667,함평250,161.0,73164
126.4903346,35.0523067,함평250,84.0,71676
126.4904544,35.0976495,함평250,112.0,70848
126.4904675,35.0744446,함평250,114.0,74324
126.491156,35.1087348,함평250,118.0,84955
126.491231,35.0604805,함평250,69.0,73984
126.4930512,35.0262582,함평250,64.0,86733
126.4932625,35.0286611,함평250,76.0,86802
126.4937383,35.1320151,함평250,95.0,79663
126.4937837,35.1660537,함평250,107.0,81351
126.4941341,35.0399253,함평250,78.0,71148
126.49443,35.0632712,함평250,76.0,73916
126.4950317,35.147161,함평250,127.0,78078
126.4959485,35.1532167,함평250,142.0,80240
126.4969526,35.154355,함평250,148.0,96078
126.4970335,35.118499,함평250,181.0,88740
126.4971856,35.1425188,함평250,69.0,80512
126.4976917,35.1563597,함평250,143.0,78408
126.4987547,35.1554954,함평250,127.0,81903
126.4987796,35.0708333,함평250,92.0,73194
126.4995969,35.0891254,함평250,105.0,76314
126.5001101,35.1234251,함평250,138.0,90114
126.5001128,35.0371448,함평250,95.0,74313
126.5001566,35.1695731,함평250,93.0,77748
126.5016465,35.0818102,함평250,112.0,70912
126.5031428,35.043699,함평250,73.0,73100
126.5035543,35.0200489,함평250,180.0,83884
126.5046271,35.011073,함평250,189.0,73986
126.5047999,35.1516363,함평250,107.0,79462
126.5051519,35.1215411,함평250,108.0,89976
126.5053179,35.1653087,함평250,133.0,78859
126.5059376,35.0996953,함평250,143.0,88264
126.5064611,35.0741117,함평250,208.0,75480
126.5070487,35.118392,함평250,108.0,87301
126.5070496,35.0464908,함평250,137.0,73168
126.5092234,35.1787346,함평250,37.0,73899
126.5093486,35.0540562,함평250,343.0,71958
126.5100666,35.1004303,함평250,184.0,88536
126.5100758,35.0266847,함평250,146.0,85023
126.5105743,35.0439022,함평250,137.0,83952
126.511119,35.1040161,함평250,137.0,87033
126.5134015,35.0338859,함평250,113.0,83820
126.5136134,35.054433,함평250,700.0,72964
126.513645,35.0011805,함평250,229.0,82434
126.513762,35.090614,함평250,123.0,97217
126.5138872,35.176579,함평250,37.0,77484
126.5144717,35.0927814,함평250,150.0,88196
126.5147316,35.0420116,함평250,148.0,87699
126.5153597,35.1653268,함평250,63.0,77616
126.516258,35.0915189,함평250,139.0,86832
126.5170349,35.0496148,함평250,172.0,86564
126.5187395,35.1085585,함평250,91.0,88468
126.5192025,35.102307,함평250,126.0,88400
126.5220347,34.9844897,함평250,49.0,53130
126.5226433,35.0821102,함평250,82.0,87992
126.5226569,35.1782997,함평250,22.0,76375
126.5235624,35.0921966,함평250,110.0,86765
126.5257698,35.0381262,함평250,99.0,87906
126.5271374,34.9889431,함평250,49.0,79569
126.5273005,34.9885251,함평250,49.0,89838
126.5310538,35.069187,함평250,667.0,87924
126.5311369,34.9803214,함평250,49.0,53088
126.5314329,35.0690149,함평250,667.0,99153
126.5315818,35.0683551,함평250,667.0,85272
126.5336709,35.0685003,함평250,406.0,85626
126.5345619,35.0522642,함평250,157.0,87788
126.5352628,35.0125634,함평250,415.0,81673
126.5360148,35.0669089,함평250,307.0,87720
126.5361811,35.1468467,함평250,13.0,88944
126.536349,35.0001143,함평250,51.0,81338
126.5364148,35.0101977,함평250,364.0,82756
126.5365009,35.0342614,함평250,323.0,82209
126.536721,35.0055521,함평250,283.0,82620
126.5368754,35.0468164,함평250,180.0,85077
126.5381886,35.172524,함평250,10.0,93636
126.5382492,35.0530027,함평250,149.0,82678
126.538552,35.0437548,함평250,203.0,81312
126.5391831,35.0441473,함평250,203.0,86095
126.5395994,35.0435953,함평250,198.0,83640
126.5399388,35.0120059,함평250,375.0,83164
126.5412755,35.0737711,함평250,262.0,86363
126.5426221,35.0420543,함평250,213.0,84939
126.5433718,35.0829604,함평250,103.0,86162
126.5447136,35.1641372,함평250,17.0,92460
126.5453283,35.0372167,함평250,206.0,83980
126.5454452,35.1609003,함평250,10.0,95898
126.545833,35.022335,함평250,466.0,83013
126.54601,35.0652228,함평250,166.0,87176
126.5468655,35.1217111,함평250,0.0,90390
126.5469313,35.1512098,함평250,0.0,92326
126.5487761,35.0565443,함평250,69.0,83281
126.5490669,35.015673,함평250,282.0,81606
126.5504985,35.0772339,함평250,88.0,87516
126.5508755,35.027918,함평250,105.0,82812
126.5510074,35.0883257,함평250,98.0,85008
126.551297,35.0370051,함평250,120.0,80405
126.5519304,35.0638325,함평250,47.0,85827
126.5523936,35.0519978,함평250,98.0,84592
126.5534675,35.1740297,함평250,13.0,94944
126.5540975,35.0476763,함평250,112.0,84456
126.5571942,35.0452264,함평250,102.0,84388
126.5616151,35.1016009,함평250,46.0,90450
126.5625408,35.0852929,함평250,50.0,87040
126.5626624,35.0034767,함평250,13.0,78390
126.5638922,35.069437,함평250,62.0,87244
126.5645207,35.0173567,함평250,14.0,81708
126.5659111,35.0367407,함평250,35.0,85560
126.5667612,35.0654283,함평250,49.0,88596
126.5687827,35.0063545,함평250,82.0,82212
126.5702095,35.1005876,함평250,93.0,84864
126.5719083,34.9895186,함평250,103.0,79992
126.5731417,35.1011873,함평250,100.0,89352
126.5743352,34.9838424,함평250,83.0,70354
126.5744576,34.9900516,함평250,126.0,78650
126.5749477,35.1859964,함평250,23.0,88000
126.5750095,35.0572375,함평250,23.0,80132
126.5750298,35.0005772,함평250,112.0,96949
126.5751343,34.9951171,함평250,124.0,82144
126.5751941,34.9997526,함평250,112.0,83283
126.5783318,35.0359999,함평250,60.0,81532
126.5785562,35.0042952,함평250,143.0,80735
126.5789668,34.987074,함평250,103.0,75082
126.5790077,35.1173958,함평250,36.0,91188
126.5794046,35.1128549,함평250,43.0,92943
126.5795019,35.007956,함평250,117.0,76992
126.5798196,35.0526736,함평250,40.0,79998
126.5804848,35.1729739,함평250,80.0,90684
126.5818799,35.0449622,함평250,55.0,92672
126.581987,35.0452979,함평250,55.0,75285
126.5826464,35.0086976,함평250,133.0,79332
126.5832006,35.1027429,함평250,103.0,86658
126.5836086,35.0186527,함평250,34.0,73200
126.5860948,35.0060409,함평250,94.0,78260
126.5866335,35.1766332,함평250,127.0,93364
126.5872242,35.0780414,함평250,67.0,79750
126.5872977,35.1602545,함평250,80.0,93426
126.5874364,35.07839,함평250,67.0,74066
126.5878247,35.0065451,함평250,87.0,76864
126.5886187,35.1914032,함평250,78.0,93228
126.589105,35.0656597,함평250,26.0,60113
126.590456,35.1212052,함평250,120.0,87904
126.5910614,35.0987848,함평250,49.0,80459
126.5913013,35.1279878,함평250,97.0,91392
126.5924478,35.033519,함평250,35.0,49118
126.5926243,35.197121,함평250,77.0,95609
126.5930387,35.2055642,함평250,97.0,82708
126.594095,35.1187723,함평250,115.0,89981
126.594324,35.184632,함평250,315.0,93024
126.5946738,35.1502082,함평250,137.0,86526
126.5946881,35.1737516,함평250,344.0,91924
126.5947904,35.1172427,함평250,127.0,90916
126.5954304,35.1946614,함평250,127.0,90420
126.5958874,35.1602453,함평250,182.0,93219
126.5964651,35.2096429,함평250,118.0,92625
126.5967167,35.1573318,함평250,184.0,89298
126.5981544,35.1414685,함평250,173.0,89713
126.599194,35.2152132,함평250,150.0,92885
126.5993711,35.1335381,함평250,144.0,90316
126.6010204,35.1628915,함평250,179.0,93288
126.6014189,35.1363983,함평250,139.0,88641
126.6014427,35.2238299,함평250,116.0,95810
126.6014795,35.1785136,함평250,553.0,91589
126.6015162,35.1511743,함평250,182.0,93564
126.6018531,35.182528,함평250,540.0,93772
126.6024431,35.1227609,함평250,170.0,89034
126.6026001,35.1810935,함평250,546.0,92888
126.6027224,35.1792688,함평250,553.0,96413
126.6029113,35.2024193,함평250,212.0,95408
126.6029188,35.1865882,함평250,433.0,93092
126.603493,35.175812,함평250,505.0,93702
126.6037992,35.1044277,함평250,143.0,84042
126.604409,35.2091002,함평250,138.0,92430
126.604837,35.1388939,함평250,129.0,88572
126.6048645,35.1810447,함평250,515.0,14105
126.6053629,35.1320295,함평250,120.0,84608
126.6053791,35.1278928,함평250,108.0,84928
126.6058285,35.1568097,함평250,206.0,89430
126.6059611,35.1733491,함평250,464.0,91187
126.6064764,35.1753822,함평250,499.0,90919
126.6067744,35.2121361,함평250,143.0,95341
126.6072088,35.1659048,함평250,178.0,89694
126.6074365,35.1617568,함평250,179.0,89760
126.6075909,35.1893965,함평250,351.0,91254
126.6078256,35.1025568,함평250,94.0,83979
126.6082581,35.1147292,함평250,235.0,86790
126.6085168,35.1140904,함평250,251.0,92032
126.6087903,35.2212412,함평250,120.0,94805
126.6097427,35.1110218,함평250,280.0,90942
126.6102768,35.1851207,함평250,433.0,88595
126.6103205,35.1135594,함평250,251.0,89556
126.6107934,35.2005631,함평250,211.0,97552
126.6109218,35.1124034,함평250,508.0,67603
126.6109471,35.1948278,함평250,183.0,97980
126.6112445,35.199867,함평250,192.0,95073
126.611563,35.1792047,함평250,462.0,91455
126.6115692,35.1824649,함평250,473.0,92752
126.6136773,35.2096582,함평250,161.0,94939
126.6145892,35.1985182,함평250,185.0,97842
126.6152367,35.1001512,함평250,66.0,88440
126.6166939,35.1126373,함평250,221.0,86856
126.6176914,35.1991592,함평250,166.0,95207
126.6177253,35.1103442,함평250,213.0,89828
126.6177843,35.1406827,함평250,87.0,88708
126.6181053,35.2056447,함평250,212.0,94872
126.6185109,35.1476864,함평250,94.0,89512
126.6187066,35.1545425,함평250,178.0,86970
126.6200323,35.1575411,함평250,196.0,91410
126.6211642,35.2145136,함평250,138.0,83367
126.6212632,35.2137149,함평250,125.0,82012
126.6218147,35.1355368,함평250,94.0,88775
126.6236609,35.1601999,함평250,184.0,92661
126.6236849,35.1626203,함평250,178.0,92728
126.6242226,35.2183764,함평250,72.0,57851
126.6258884,35.1398663,함평250,84.0,91701
126.6266148,35.1390823,함평250,84.0,94380
126.6269136,35.2056557,함평250,133.0,91455
126.6269248,35.1442794,함평250,103.0,91120
126.6273372,35.2140899,함평250,108.0,64952
126.6274236,35.1893787,함평250,251.0,96462
126.627425,35.1585318,함평250,199.0,93976
126.6276395,35.1262144,함평250,54.0,90304
126.6284738,35.2148148,함평250,108.0,65430
126.6295617,35.1181537,함평250,87.0,91908
126.6296894,35.2091393,함평250,127.0,76140
126.6299801,35.1659275,함평250,168.0,88768
126.6304297,35.1638595,함평250,207.0,96030
126.6308586,35.1554908,함평250,185.0,92527
126.6317692,35.1105243,함평250,60.0,92115
126.6318217,35.2125056,함평250,108.0,61996
126.6334105,35.2095148,함평250,99.0,66176
126.6344733,35.119252,함평250,64.0,89177
126.6344941,35.1906466,함평250,268.0,94001
126.6359487,35.1997873,함평250,109.0,94068
126.6384579,35.1895159,함평250,224.0,93934
126.6386576,35.1384836,함평250,70.0,91528
126.639328,35.1882385,함평250,267.0,93867
126.6400191,35.198025,함평250,94.0,87172
126.6407049,35.1614613,함평250,106.0,88704
126.6410281,35.1737008,함평250,230.0,94452
126.6426041,35.2056686,함평250,84.0,54795
126.6427455,35.1645533,함평250,112.0,95772
126.6437697,35.1410674,함평250,76.0,84735
126.6459651,35.1479116,함평250,49.0,78470
126.6465504,35.173876,함평250,88.0,97920
126.6495077,35.1838809,함평250,106.0,90350
126.6624004,35.1725479,함평250,10.0,70941
126.8812234,35.2874245,담양250,167.0,65975
126.8830404,35.2472854,담양250,64.0,32576
126.8843174,35.2601327,담양250,147.0,56952
126.8871368,35.2762945,담양250,506.0,49764
126.8879412,35.2766941,담양250,513.0,45895
126.8879502,35.2749357,담양250,4640.0,703593
126.887971,35.2748009,담양250,464.0,72036
126.8884007,35.2628948,담양250,210.0,68340
126.8949584,35.2878221,담양250,159.0,67650
126.902177,35.2861865,담양250,510.0,142209
126.9031094,35.2663356,담양250,266.0,68474
126.9068776,35.2900873,담양250,314.0,70794
126.9151182,35.2896856,담양250,417.0,69630
126.9169295,35.3802415,담양250,48.0,50804
126.9177533,35.2867996,담양250,383.0,71001
126.9211352,35.269693,담양250,173.0,66531
126.9217933,35.3732635,담양250,66.0,62592
126.925977,35.309006,담양250,495.0,68000
126.9270081,35.262903,담양250,243.0,67592
126.9285027,35.301702,담양250,439.0,70924
126.9286941,35.3017494,담양250,2195.0,329010
126.9288924,35.2742922,담양250,119.0,67456
126.9297353,35.3118028,담양250,966.0,134335
126.9305397,35.302193,담양250,463.0,25661
126.9318063,35.3018024,담양250,518.0,8901
126.9333312,35.2932872,담양250,374.0,67320
126.9336686,35.3181868,담양250,425.0,68272
126.9337342,35.3219821,담양250,215.0,68340
126.9359506,35.3081402,담양250,576.0,67067
126.9381535,35.285769,담양250,223.0,70618
126.9385287,35.2546525,담양250,209.0,53592
126.9390882,35.2681311,담양250,106.0,54538
126.9393356,35.2542079,담양250,209.0,67925
126.9404629,35.2989501,담양250,515.0,69483
126.9413556,35.2825701,담양250,89.0,67388
126.9413945,35.3074737,담양250,502.0,66396
126.9417733,35.2931342,담양250,294.0,65715
126.9429661,35.3013426,담양250,434.0,67536
126.948538,35.350883,담양250,630.0,194970
126.9510089,35.2951301,담양250,296.0,68680
126.9516664,35.3045073,담양250,286.0,69621
126.9547196,35.3402131,담양250,2380.0,656935
126.9552842,35.2232895,담양250,246.0,96222
126.9555831,35.2743733,담양250,302.0,68244
126.9562301,35.3400596,담양250,296.0,69814
126.9563616,35.232165,담양250,148.0,67990
126.9569166,35.2762079,담양250,2439.0,485013
126.957664,35.3651073,담양250,53.0,66844
126.958099,35.353463,담양250,712.0,255156
126.9649462,35.3730496,담양250,309.0,199920
126.9654772,35.2434817,담양250,594.0,114747
126.9655994,35.2749091,담양250,293.0,55614
126.9664149,35.3620277,담양250,56.0,62848
126.966666,35.3869587,담양250,73.0,64186
126.9669217,35.2346773,담양250,534.0,110022
126.967227,35.2448427,담양250,273.0,56384
126.968198,35.3583591,담양250,152.0,65928
126.9693367,35.381129,담양250,97.0,64119
126.9715784,35.2878055,담양250,186.0,53533
126.9731564,35.2235263,담양250,4628.0,721791
126.973604,35.273049,담양250,628.0,222456
126.9737538,35.2233747,담양250,365.0,2415
126.974057,35.3501822,담양250,204.0,71604
126.974075,35.2232167,담양250,365.0,35259
126.9743977,35.2892446,담양250,256.0,54400
126.9748144,35.2889723,담양250,268.0,53667
126.9749263,35.2236262,담양250,352.0,69345
126.9751707,35.2425931,담양250,272.0,54560
126.977227,35.217248,담양250,406.0,56304
126.977982,35.353263,담양250,693.0,194208
126.9788511,35.2183647,담양250,356.0,56925
126.9789421,35.2219692,담양250,339.0,56168
126.9789993,35.2217038,담양250,345.0,55409
126.9806147,35.2390659,담양250,296.0,58014
126.9823096,35.215902,담양250,771.0,164016
126.9855422,35.2813723,담양250,191.0,62016
126.987322,35.3647096,담양250,249.0,70788
126.9875112,35.3649462,담양250,249.0,66309
126.9885295,35.3658275,담양250,203.0,64872
126.990065,35.355744,담양250,320.0,64464
126.992837,35.2263654,담양250,239.0,56280
126.9930828,35.3551633,담양250,480.0,125334
126.993821,35.366943,담양250,324.0,126126
126.9942886,35.4056687,담양250,8.0,64320
126.9962915,35.3819256,담양250,17.0,61376
127.0006393,35.292171,담양250,200.0,61305
127.004935,35.343653,담양250,564.0,207636
127.0128891,35.2527314,담양250,121.0,59831
127.01756,35.371239,담양250,218.0,123090
127.017723,35.334122,담양250,302.0,106556
127.0183035,35.3228343,담양250,111.0,52863
127.020234,35.222398,담양250,110.0,57090
127.0212608,35.2535291,담양250,312.0,184230
127.0247769,35.2512318,담양250,145.0,58608
127.0255134,35.3433824,담양250,1883.0,453606
127.0261759,35.3439414,담양250,269.0,69680
127.0278708,35.1774663,담양250,909.0,483021
127.02789,35.177192,담양250,202.0,106407
127.0279111,35.4234058,담양250,129.0,193563
127.0279159,35.4234231,담양250,43.0,70484
127.0285797,35.3456651,담양250,538.0,124687
127.028838,35.35488,담양250,434.0,129237
127.0294249,35.3153833,담양250,57.0,63382
127.0301411,35.2948718,담양250,2040.0,605616
127.0308147,35.1773595,담양250,82.0,66304
127.0310274,35.1634148,담양250,201.0,172788
127.0315828,35.3203401,담양250,129.0,64260
127.0320416,35.3206025,담양250,129.0,71468
127.0323503,35.29422,담양250,156.0,68574
127.0354789,35.2062115,담양250,21.0,59429
127.0359017,35.248653,담양250,125.0,70584
127.0370119,35.249425,담양250,1375.0,672452
127.0387469,35.2891998,담양250,370.0,119922
127.0394554,35.2661527,담양250,59.0,72381
127.0408029,35.1610048,담양250,67.0,58581
127.0437158,35.137669,담양250,36.0,56100
127.04505,35.350629,담양250,121.0,63852
127.045063,35.35053,담양250,242.0,126027
127.05224,35.350162,담양250,115.0,62846
127.0526949,35.3503518,담양250,115.0,71400
127.0552664,35.1806481,담양250,22.0,56628
127.0572436,35.2897628,담양250,127.0,60720
127.0578133,35.2655345,담양250,24.0,58370
127.0593898,35.2070612,담양250,27.0,60769
127.0638437,35.2969656,담양250,86.0,61707
127.0642555,35.2823934,담양250,133.0,63825
127.0678862,35.1405741,담양250,27.0,58995
127.068526,35.1400869,담양250,27.0,69102
127.0718657,35.2854816,담양250,97.0,62832
127.0868602,35.2183685,담양250,40.0,130650
127.087429,35.268562,담양250,152.0,124285
127.1010054,35.2101023,담양250,0.0,39732
