연번,경로당 명칭,관리기관,소재지,관리기관전화번호,데이터기준일자
1,무안읍분회(노성원),무안군,전라남도 무안군  무안읍 면성2길 37-4,061-450-5524,2021-08-06
2,무안여자,무안군,전라남도 무안군  무안읍 면성2길37-4,061-450-5524,2021-08-06
3,서문안,무안군,전라남도 무안군  무안읍 성내1길31,061-450-5524,2021-08-06
4,성내2리,무안군,전라남도 무안군  무안읍 동문안길23,061-450-5524,2021-08-06
5,성내4리,무안군,전라남도 무안군  무안읍 공항로75-9무안성내휴먼시아,061-450-5524,2021-08-06
6,여트물 ,무안군,전라남도 무안군  무안읍 면성1길11,061-450-5524,2021-08-06
7,용산,무안군,전라남도 무안군  무안읍 무안용산길31,061-450-5524,2021-08-06
8,복용,무안군,전라남도 무안군  무안읍 무안로651,061-450-5524,2021-08-06
9,대사동,무안군,전라남도 무안군  무안읍 무안로 518,061-450-5524,2021-08-06
10,후청,무안군,전라남도 무안군  무안읍 성남2길38,061-450-5524,2021-08-06
11,만창,무안군,전라남도 무안군  무안읍 무안로407-6,061-450-5524,2021-08-06
12,만창부녀,무안군,전라남도 무안군  무안읍 무안로407-6,061-450-5524,2021-08-06
13,대곡,무안군,전라남도 무안군  무안읍 무안로304-8,061-450-5524,2021-08-06
14,하마동,무안군,전라남도 무안군  무안읍 성남2길9,061-450-5524,2021-08-06
15,와동,무안군,전라남도 무안군  무안읍 면성1길136-12,061-450-5524,2021-08-06
16,서라,무안군,전라남도 무안군  무안읍 면성1길146 서라아파트,061-450-5524,2021-08-06
17,경신동,무안군,전라남도 무안군  무안읍 경신길9,061-450-5524,2021-08-06
18,송림,무안군,전라남도 무안군  무안읍 무안중앙로88,061-450-5524,2021-08-06
19,교촌3리,무안군,전라남도 무안군  무안읍 승달로63-2,061-450-5524,2021-08-06
20,중사지,무안군,전라남도 무안군  무안읍 교촌길89-3,061-450-5524,2021-08-06
21,상봉,무안군,전라남도 무안군  무안읍 상봉길 103,061-450-5524,2021-08-06
22,상사지,무안군,전라남도 무안군  무안읍 교촌길120,061-450-5524,2021-08-06
23,금광,무안군,전라남도 무안군  무안읍 승달로12금광아파트,061-450-5524,2021-08-06
24,삼신파크빌아파트,무안군,전라남도 무안군  무안읍 불무로 40-11 삼신파크빌아파트,061-450-5524,2021-08-06
25,교촌9리,무안군,전라남도 무안군  무안읍 창포로16광명샤인빌아파트,061-450-5524,2021-08-06
26,노동,무안군,전라남도 무안군  무안읍 면주길59,061-450-5524,2021-08-06
27,용연,무안군,전라남도 무안군  무안읍 상동길9-2,061-450-5524,2021-08-06
28,평월 ,무안군,전라남도 무안군  무안읍 평월길 75,061-450-5524,2021-08-06
29,본고절,무안군,전라남도 무안군  무안읍 고절길51,061-450-5524,2021-08-06
30,상고절,무안군,전라남도 무안군  무안읍 상고절길21,061-450-5524,2021-08-06
31,평촌,무안군,전라남도 무안군  무안읍 평촌길31,061-450-5524,2021-08-06
32,고절3리,무안군,전라남도 무안군  무안읍 오리정길18,061-450-5524,2021-08-06
33,신촌,무안군,전라남도 무안군  무안읍 보평로280-7,061-450-5524,2021-08-06
34,도산,무안군,전라남도 무안군  무안읍 무안도산길13,061-450-5524,2021-08-06
35,수양,무안군,전라남도 무안군  무안읍 수양길106,061-450-5524,2021-08-06
36,수반여자,무안군,전라남도 무안군  무안읍 수양길106,061-450-5524,2021-08-06
37,양림,무안군,전라남도 무안군  무안읍 수양길51-1,061-450-5524,2021-08-06
38,성암 ,무안군,전라남도 무안군  무안읍 성암길16,061-450-5524,2021-08-06
39,용연동,무안군,전라남도 무안군  무안읍 용연길65,061-450-5524,2021-08-06
40,평용,무안군,전라남도 무안군  무안읍 평용길109,061-450-5524,2021-08-06
41,병곡,무안군,전라남도 무안군  무안읍 병곡길19,061-450-5524,2021-08-06
42,학동,무안군,전라남도 무안군  무안읍 황토길541-15,061-450-5524,2021-08-06
43,일로분회,무안군,전라남도 무안군  일로읍 일로로58-1,061-450-5524,2021-08-06
44,주룡,무안군,전라남도 무안군  일로읍 청포로 543-5,061-450-5524,2021-08-06
45,청호2리 ,무안군,전라남도 무안군  일로읍 청포로 461,061-450-5524,2021-08-06
46,우비,무안군,전라남도 무안군  일로읍 상사바위길 255,061-450-5524,2021-08-06
47,망월동,무안군,전라남도 무안군  일로읍 망월길 54,061-450-5524,2021-08-06
48,망해동,무안군,전라남도 무안군  일로읍 망월길 45-50,061-450-5524,2021-08-06
49,늘푸른,무안군,전라남도 무안군  일로읍 선비길8,061-450-5524,2021-08-06
50,비로촌,무안군,전라남도 무안군  일로읍 비로길153-55,061-450-5524,2021-08-06
51,죽산,무안군,전라남도 무안군  일로읍 죽산길 16,061-450-5524,2021-08-06
52,양지촌,무안군,전라남도 무안군  일로읍 양지길40,061-450-5524,2021-08-06
53,당월촌,무안군,전라남도 무안군  일로읍 영친길164,061-450-5524,2021-08-06
54,도장포,무안군,전라남도 무안군  일로읍 청포로39,061-450-5524,2021-08-06
55,영화정,무안군,전라남도 무안군  일로읍 영화길1,061-450-5524,2021-08-06
56,삼천동,무안군,전라남도 무안군  일로읍 삼천길15,061-450-5524,2021-08-06
57,구정,무안군,전라남도 무안군  일로읍 구정길194,061-450-5524,2021-08-06
58,탄동,무안군,전라남도 무안군  일로읍 구정길293-5,061-450-5524,2021-08-06
59,두무동,무안군,전라남도 무안군  일로읍 구정길 376-2,061-450-5524,2021-08-06
60,인의산 ,무안군,전라남도 무안군  일로읍 인의로120,061-450-5524,2021-08-06
61,산두,무안군,전라남도 무안군  일로읍 산두길39,061-450-5524,2021-08-06
62,의산,무안군,전라남도 무안군  일로읍 돈도리길35,061-450-5524,2021-08-06
63,돈도리여자,무안군,전라남도 무안군  일로읍 돈도리길35,061-450-5524,2021-08-06
64,무룡,무안군,전라남도 무안군  일로읍 무룡길10,061-450-5524,2021-08-06
65,내동,무안군,전라남도 무안군  일로읍 인의로 175,061-450-5524,2021-08-06
66,소지,무안군,전라남도 무안군  일로읍 일로로191-8,061-450-5524,2021-08-06
67,월암,무안군,전라남도 무안군  일로읍 일로신흥길5,061-450-5524,2021-08-06
68,황소안(여자),무안군,전라남도 무안군  일로읍 일로신흥길5,061-450-5524,2021-08-06
69,월암2리,무안군,전라남도 무안군  일로읍 시장길 11-22,061-450-5524,2021-08-06
70,덕산,무안군,전라남도 무안군  일로읍 일로연동길5,061-450-5524,2021-08-06
71,월암4리,무안군,전라남도 무안군  일로읍 월암길66,061-450-5524,2021-08-06
72,강남산,무안군,전라남도 무안군  일로읍 강남길 25,061-450-5524,2021-08-06
73,부흥정,무안군,전라남도 무안군  일로읍 부흥길9,061-450-5524,2021-08-06
74,다복동,무안군,전라남도 무안군  일로읍 월암길11,061-450-5524,2021-08-06
75,한마음,무안군,전라남도 무안군  일로읍 중앙동길14,061-450-5524,2021-08-06
76,연소,무안군,전라남도 무안군  일로읍 연소길20,061-450-5524,2021-08-06
77,읍동,무안군,전라남도 무안군  일로읍 일로로 53-5,061-450-5524,2021-08-06
78,인동,무안군,전라남도 무안군  일로읍 인동길 4-1,061-450-5524,2021-08-06
79,농장마을,무안군,전라남도 무안군  일로읍 일로농장길60-24,061-450-5524,2021-08-06
80,평정,무안군,전라남도 무안군  일로읍 백련로19,061-450-5524,2021-08-06
81,백호동,무안군,전라남도 무안군  일로읍 백호길41-2,061-450-5524,2021-08-06
82,연화동,무안군,전라남도 무안군  일로읍 백련로85-23,061-450-5524,2021-08-06
83,산정,무안군,전라남도 무안군  일로읍 삼산로50,061-450-5524,2021-08-06
84,방매,무안군,전라남도 무안군  일로읍 방매길15,061-450-5524,2021-08-06
85,도덕지,무안군,전라남도 무안군  일로읍 백련로249-3,061-450-5524,2021-08-06
86,신원목,무안군,전라남도 무안군  일로읍 산정길32,061-450-5524,2021-08-06
87,광암1리,무안군,전라남도 무안군  일로읍 광암길83,061-450-5524,2021-08-06
88,등림,무안군,전라남도 무안군  일로읍 등림길27,061-450-5524,2021-08-06
89,진사동,무안군,전라남도 무안군  일로읍 진사길20,061-450-5524,2021-08-06
90,상신1리,무안군,전라남도 무안군  일로읍 상신길12-9,061-450-5524,2021-08-06
91,환학동,무안군,전라남도 무안군  일로읍 환학길15,061-450-5524,2021-08-06
92,중촌,무안군,전라남도 무안군  일로읍 중촌길24,061-450-5524,2021-08-06
93,복룡촌,무안군,전라남도 무안군  일로읍 일로복룡길30-3,061-450-5524,2021-08-06
94,회산백련회,무안군,전라남도 무안군  일로읍 회룡길43,061-450-5524,2021-08-06
95,사교,무안군,전라남도 무안군  일로읍 사교길9-2,061-450-5524,2021-08-06
96,양두,무안군,전라남도 무안군  일로읍 백련로483,061-450-5524,2021-08-06
97,두레미,무안군,전라남도 무안군  일로읍 백련로355,061-450-5524,2021-08-06
98,용호동,무안군,전라남도 무안군  일로읍 회룡길109-9,061-450-5524,2021-08-06
99,대절,무안군,전라남도 무안군  일로읍 죽사동길226,061-450-5524,2021-08-06
100,삼호,무안군,전라남도 무안군  일로읍 삼호길14,061-450-5524,2021-08-06
101,송태,무안군,전라남도 무안군  일로읍 덕정길24-1,061-450-5524,2021-08-06
102,청금성,무안군,전라남도 무안군  일로읍 청금성길85,061-450-5524,2021-08-06
103,감돈,무안군,전라남도 무안군  일로읍 감돈길44-10,061-450-5524,2021-08-06
104,선돌,무안군,전라남도 무안군  일로읍 선돌길27,061-450-5524,2021-08-06
105,삼향분회,무안군,전라남도 무안군  삼향읍 신기길 19,061-450-5524,2021-08-06
106,신기,무안군,전라남도 무안군  삼향읍 신기길75,061-450-5524,2021-08-06
107,대안동,무안군,전라남도 무안군  삼향읍 대안길45,061-450-5524,2021-08-06
108,종월촌,무안군,전라남도 무안군  삼향읍 종월길41,061-450-5524,2021-08-06
109,상용,무안군,전라남도 무안군  삼향읍 상용길18,061-450-5524,2021-08-06
110,과동,무안군,전라남도 무안군  삼향읍 과동길 55-2,061-450-5524,2021-08-06
111,후정,무안군,전라남도 무안군  삼향읍 오룡동길152,061-450-5524,2021-08-06
112,용계,무안군,전라남도 무안군  삼향읍 오룡산로158-2,061-450-5524,2021-08-06
113,용포,무안군,전라남도 무안군  삼향읍 오룡산로 93,061-450-5524,2021-08-06
114,덕치,무안군,전라남도 무안군  삼향읍 삼향중앙로 410,061-450-5524,2021-08-06
115,이동,무안군,전라남도 무안군  삼향읍 이동길 21,061-450-5524,2021-08-06
116,계두,무안군,전라남도 무안군  삼향읍 계두길63,061-450-5524,2021-08-06
117,와동,무안군,전라남도 무안군  삼향읍 삼향중앙로342-20,061-450-5524,2021-08-06
118,극배,무안군,전라남도 무안군  삼향읍 극배길16-4,061-450-5524,2021-08-06
119,월계,무안군,전라남도 무안군  삼향읍 월계길52,061-450-5524,2021-08-06
120,"맥포,백학",무안군,전라남도 무안군  삼향읍 맥포길58-7,061-450-5524,2021-08-06
121,송산,무안군,전라남도 무안군  삼향읍 송죽길223,061-450-5524,2021-08-06
122,죽림,무안군,전라남도 무안군  삼향읍 송죽길 109,061-450-5524,2021-08-06
123,석교,무안군,전라남도 무안군  삼향읍 석교길1,061-450-5524,2021-08-06
124,원유교,무안군,전라남도 무안군  삼향읍 유교길43-23,061-450-5524,2021-08-06
125,관동,무안군,전라남도 무안군  삼향읍 유교길 52-51,061-450-5524,2021-08-06
126,원동,무안군,전라남도 무안군  삼향읍 으뜸길26,061-450-5524,2021-08-06
127,청룡,무안군,전라남도 무안군  삼향읍 삼향중앙로91-27,061-450-5524,2021-08-06
128,중등포,무안군,전라남도 무안군  삼향읍 중등포길 70-16,061-450-5524,2021-08-06
129,군산동,무안군,전라남도 무안군  삼향읍 유교길169,061-450-5524,2021-08-06
130,평산,무안군,전라남도 무안군  삼향읍 평산길14,061-450-5524,2021-08-06
131,왕산,무안군,전라남도 무안군  삼향읍 왕산길 98,061-450-5524,2021-08-06
132,금동,무안군,전라남도 무안군  삼향읍 금동길7,061-450-5524,2021-08-06
133,마갈,무안군,전라남도 무안군  삼향읍 왕산로 304-29,061-450-5524,2021-08-06
134,마동,무안군,전라남도 무안군  삼향읍 마동길48,061-450-5524,2021-08-06
135,동뫼,무안군,전라남도 무안군  삼향읍 석매길 59,061-450-5524,2021-08-06
136,덕산,무안군,전라남도 무안군  삼향읍 덕산길 22,061-450-5524,2021-08-06
137,복룡,무안군,전라남도 무안군  삼향읍 복룡길36,061-450-5524,2021-08-06
138,지산,무안군,전라남도 무안군  삼향읍 원지산길34,061-450-5524,2021-08-06
139,곽단,무안군,전라남도 무안군  삼향읍 곽단길59,061-450-5524,2021-08-06
140,월호,무안군,전라남도 무안군  삼향읍 지산길100,061-450-5524,2021-08-06
141,노재동,무안군,전라남도 무안군  삼향읍 진등길4-1,061-450-5524,2021-08-06
142,장곡,무안군,전라남도 무안군  삼향읍 수련길 397,061-450-5524,2021-08-06
143,안동,무안군,전라남도 무안군  삼향읍 오룡동길43,061-450-5524,2021-08-06
144,오룡동,무안군,전라남도 무안군  삼향읍 남악4로60번길14,061-450-5524,2021-08-06
145,회룡,무안군,전라남도 무안군  삼향읍 남악2로 74번길 42,061-450-5524,2021-08-06
146,남악신도시아이파크,무안군,전라남도 무안군  삼향읍 남악2로74번길14,061-450-5524,2021-08-06
147,남악신동아파밀리에,무안군,전라남도 무안군  삼향읍 남악영산길39,061-450-5524,2021-08-06
148,연꽃마을효행정,무안군,전라남도 무안군  삼향읍 남악5로22번길60,061-450-5524,2021-08-06
149,오룡마을휴먼시아,무안군,전라남도 무안군  삼향읍 남악2로74번길13,061-450-5524,2021-08-06
150,무안남악3휴먼시아,무안군,전라남도 무안군  삼향읍 남악4로34번길7,061-450-5524,2021-08-06
151,부영애시앙,무안군,전라남도 무안군  삼향읍 남악72번길7,061-450-5524,2021-08-06
152,근화베아채,무안군,전라남도 무안군  삼향읍 남악4로82번길31,061-450-5524,2021-08-06
153,스위트멘토회,무안군,전라남도 무안군  삼향읍 남악5로 22번길 20,061-450-5524,2021-08-06
154,세영리첼,무안군,전라남도 무안군  삼향읍 남악4로 34번길 31,061-450-5524,2021-08-06
155,남악골드디움,무안군,전라남도 무안군  삼향읍 남악5로 72번길 81-21,061-450-5524,2021-08-06
156,비올레,무안군,전라남도 무안군  삼향읍 남악5로 22번길 10,061-450-5524,2021-08-06
157,몽탄분회,무안군,전라남도 무안군  몽탄면  몽탄로858-8,061-450-5524,2021-08-06
158,죽전,무안군,전라남도 무안군  몽탄면 죽전길 1,061-450-5524,2021-08-06
159,달산2,무안군,전라남도 무안군  몽탄면  법천길271,061-450-5524,2021-08-06
160,노송정,무안군,전라남도 무안군  몽탄면  노송2길4,061-450-5524,2021-08-06
161,중흥동,무안군,전라남도 무안군  몽탄면  양장길140,061-450-5524,2021-08-06
162,도림산,무안군,전라남도 무안군  몽탄면  도림산길2,061-450-5524,2021-08-06
163,월산,무안군,전라남도 무안군  몽탄면  양장길285,061-450-5524,2021-08-06
164,양지촌,무안군,전라남도 무안군  몽탄면  양지촌길3-2,061-450-5524,2021-08-06
165,회룡정,무안군,전라남도 무안군  몽탄면 몽탄로 1243,061-450-5524,2021-08-06
166,사옥동,무안군,전라남도 무안군  몽탄면 사옥길 101,061-450-5524,2021-08-06
167,학전동,무안군,전라남도 무안군  몽탄면  학전길55,061-450-5524,2021-08-06
168,갈산,무안군,전라남도 무안군  몽탄면  갈산안길86-3,061-450-5524,2021-08-06
169,당호2리,무안군,전라남도 무안군  몽탄면  갈산안길15,061-450-5524,2021-08-06
170,신흥동,무안군,전라남도 무안군  몽탄면 신흥동길85-6,061-450-5524,2021-08-06
171,명산1 ,무안군,전라남도 무안군  몽탄면  몽탄로1517-3,061-450-5524,2021-08-06
172,명산2,무안군,전라남도 무안군  몽탄면 도산길 38-7,061-450-5524,2021-08-06
173,상몽탄,무안군,전라남도 무안군  몽탄면  호반로359,061-450-5524,2021-08-06
174,언동,무안군,전라남도 무안군  몽탄면  언동길43,061-450-5524,2021-08-06
175,박실,무안군,전라남도 무안군  몽탄면  약곡길100,061-450-5524,2021-08-06
176,약실,무안군,전라남도 무안군  몽탄면  약곡길144,061-450-5524,2021-08-06
177,귀학,무안군,전라남도 무안군  몽탄면 귀학길52-3,061-450-5524,2021-08-06
178,만복동,무안군,전라남도 무안군  몽탄면 몽탄로 864-6,061-450-5524,2021-08-06
179,사내,무안군,전라남도 무안군  몽탄면  월천길24,061-450-5524,2021-08-06
180,봉서동,무안군,전라남도 무안군  몽탄면  사내길14,061-450-5524,2021-08-06
181,구산1 ,무안군,전라남도 무안군  몽탄면  몽탄로825-6,061-450-5524,2021-08-06
182,구산2리 ,무안군,전라남도 무안군  몽탄면  원구산길69,061-450-5524,2021-08-06
183,호동,무안군,전라남도 무안군  몽탄면  호동길58,061-450-5524,2021-08-06
184,배뫼,무안군,전라남도 무안군  몽탄면 배뫼길 63,061-450-5524,2021-08-06
185,늘어지,무안군,전라남도 무안군  몽탄면  호반로741-2,061-450-5524,2021-08-06
186,남천,무안군,전라남도 무안군  몽탄면 남천안길 26-4,061-450-5524,2021-08-06
187,화산,무안군,전라남도 무안군  몽탄면  화산길 54,061-450-5524,2021-08-06
188,양마,무안군,전라남도 무안군  몽탄면  양마길 24 ,061-450-5524,2021-08-06
189,한재,무안군,전라남도 무안군  몽탄면  한재길12,061-450-5524,2021-08-06
190,총지,무안군,전라남도 무안군  몽탄면  대치로355,061-450-5524,2021-08-06
191,봉암,무안군,전라남도 무안군  몽탄면  봉암길6,061-450-5524,2021-08-06
192,학산,무안군,전라남도 무안군  몽탄면  학사길 38-2,061-450-5524,2021-08-06
193,후동,무안군,전라남도 무안군  몽탄면  학사길 110,061-450-5524,2021-08-06
194,인평,무안군,전라남도 무안군  몽탄면  인평길28,061-450-5524,2021-08-06
195,차뫼,무안군,전라남도 무안군  몽탄면  차뫼길28,061-450-5524,2021-08-06
196,사창,무안군,전라남도 무안군  몽탄면  우명길97-6,061-450-5524,2021-08-06
197,저두,무안군,전라남도 무안군  몽탄면  학사길286,061-450-5524,2021-08-06
198,덕암,무안군,전라남도 무안군  몽탄면 덕암길 93,061-450-5524,2021-08-06
199,초당산,무안군,전라남도 무안군  몽탄면  초당길11,061-450-5524,2021-08-06
200,사동,무안군,전라남도 무안군  몽탄면  사동길52,061-450-5524,2021-08-06
201,기동,무안군,전라남도 무안군  몽탄면  봉산길83,061-450-5524,2021-08-06
202,옥반동,무안군,전라남도 무안군  몽탄면 옥반길 11,061-450-5524,2021-08-06
203,기룡동,무안군,전라남도 무안군  몽탄면  기룡동길23,061-450-5524,2021-08-06
204,청계분회,무안군,전라남도 무안군  청계면 연곡길 8,061-450-5524,2021-08-06
205,월선1리,무안군,전라남도 무안군  청계면 월선길 177-3,061-450-5524,2021-08-06
