연번,시군명,기관장,기관명,소재지 (도로명 주소),전화번호,진료과목,진료시간,비고,데이터기준일자
166,화순군,오정숙,신성리보건진료소,전라남도 화순군 도곡면 이문동길 25,061-372-4425,1차진료+건강증진사업,09:00~18:00,,2021-08-01
167,화순군,최정순,용강리보건진료소,전라남도 화순군 도암면 중장터길 37-12,061-375-0581,1차진료+건강증진사업,09:00~18:00,,2021-08-01
168,화순군,국영희,맹리보건진료소,전라남도 화순군 맹리길 14-2,061-372-5642,1차진료+건강증진사업,09:00~18:00,,2021-08-01
169,화순군,정정애,신율리보건진료소,전라남도 화순군 동복면 신율길 37,061-372-2607,1차진료+건강증진사업,09:00~18:00,,2021-08-01
170,화순군,김재옥,다산리보건진료소,전라남도 화순군 남면 효당로 256,061-372-6815,1차진료+건강증진사업,09:00~18:00,,2021-08-01
171,화순군,김미복,무포리보건진료소,전라남도 화순군 동면 무리길 12,061-372-8481,1차진료+건강증진사업,09:00~18:00,,2021-08-01
172,장흥군,서지영,삼산보건진료소,전라남도 장흥군 관산읍 삼삼로 61,061-867-4095,1차진료+건강증진사업,09:00~18:00,,2021-08-01
173,장흥군,김선미,죽청보건진료소,전라남도 장흥군 관산읍 죽청2길 4,061-867-2376,1차진료+건강증진사업,09:00~18:00,,2021-08-01
174,장흥군,오영숙,신리보건진료소,전라남도 장흥군 대덕읍 장흥대로 76,061-867-0023,1차진료+건강증진사업,09:00~18:00,,2021-08-01
175,장흥군,이유경,상발보건진료소,전라남도 장흥군 용산면 접정남포로 945,061-863-5876,1차진료+건강증진사업,09:00~18:00,,2021-08-01
176,장흥군,김은영,수문보건진료소,전라남도 장흥군 안양면 수문1길 9,061-862-1346,1차진료+건강증진사업,09:00~18:00,,2021-08-01
177,장흥군,김기엽,장동보건진료소,전라남도 장흥군 장동면 곰치로 10,061-862-0304,1차진료+건강증진사업,09:00~18:00,,2021-08-01
178,장흥군,김령숙,봉림보건진료소,전라남도 장흥군 장평면 곸치로 845,061-862-3506,1차진료+건강증진사업,09:00~18:00,,2021-08-01
179,장흥군,정미진,부평보건진료소,전라남도 장흥군 장평면 임리어곡길 66,061-862-0677,1차진료+건강증진사업,09:00~18:00,,2021-08-01
180,장흥군,김영란,대천보건진료소,전라남도 장흥군 유치면 암천길 15-15,061-864-2543,1차진료+건강증진사업,09:00~18:00,,2021-08-01
181,장흥군,이춘자,대신보건진료소,전라남도 장흥군 회진면 회진로 877,061-867-5522,1차진료+건강증진사업,09:00~18:00,,2021-08-01
182,장흥군,배희경,삭금보건진료소,전라남도 장흥군 가학회진로 895,061-867-5543,1차진료+건강증진사업,09:00~18:00,,2021-08-01
183,강진군,최경미,단월보건진료소, 전라남도 강진군 칠량면 치산길 9,061-430-3581,1차진료+건강증진사업,09:00~18:00,,2021-08-01
184,강진군,박지현,계율보건진료소,전라남도 강진군 대구면 계율길 41,061-430-3582,1차진료+건강증진사업,09:00~18:00,,2021-08-01
185,강진군,조은경,신기보건진료소,전라남도 강진군 도암면 월곶로 278,061-430-3583,1차진료+건강증진사업,09:00~18:00,,2021-08-01
186,강진군,김미애,강정보건진료소,전라남도 강진군 도암면 지석로 460,061-430-3584,1차진료+건강증진사업,09:00~18:00,,2021-08-01
187,강진군,강서영,송천보건진료소,전라남도 강진군 신전면 운주로 331,061-430-3585,1차진료+건강증진사업,09:00~18:00,,2021-08-01
188,강진군,명미자,용상보건진료소,전라남도 강진군 작천면 열수로 58,061-430-3586,1차진료+건강증진사업,09:00~18:00,,2021-08-01
189,강진군,나정미,영산보건진료소,전라남도 강진군 옴천면 장강로 1776,061-430-3587,1차진료+건강증진사업,09:00~18:00,,2021-08-01
190,해남군,박영화,내사보건진료소,전라남도 해남군 해남읍 내사길502,061-536-7314,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
191,해남군,김미선,삼호보건진료소,전라남도 해남군 화산면 사포길26,061-536-7002,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
192,해남군,민예리,연곡보건진료소,전라남도 해남군 화산면 연곡길 58,061-533-4653,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
193,해남군,권난희,신방보건진료소,전라남도 해남군 현산면 백방산길176,061-533-4438,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
194,해남군,윤인자,구산보건진료소,전라남도 해남군 현산면 구산길12,061-536-4412,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
195,해남군,박규남,송호보건진료소,전라남도 해남군 송지면 땅끝해안로1796-14,061-533-3498,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
196,해남군,박미숙,신정보건진료소,전라남도 해남군 송지면 독고개길3,061-533-3502,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
197,해남군,최민우,어불보건진료소,전라남도 해남군 송지면 어불길40-15,061-534-1255,1차진료+건강증진사업,09:00~18:00,도서,2021-08-01
198,해남군,곽주화,평암보건진료소,전라남도 해남군 북평면 땅끝해안로3452,061-533-1791,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
199,해남군,박숙희,와룡보건진료소,전라남도 해남군 북평면 와룡길51,061-533-7344,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
200,해남군,김명희,동리보건진료소,전라남도 해남군 옥천면 동리길10,061-533-9110,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
201,해남군,최수빈,덕정보건진료소,전라남도 해남군 계곡면 덕정길5,061-532-6132,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
202,해남군,이해경,연구보건진료소,전라남도 해남군 마산면 연구길156,061-533-7746,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
203,해남군,강은선,한자보건진료소,전라남도 해남군 황산면 한자길6,061-533-5346,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
204,해남군,문을순,대진보건진료소,전라남도 해남군 산이면 산이로1600,061-532-5595,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
205,해남군,최재선,금호보건진료소,전라남도 해남군 산이면 금호길63,061-537-1597,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
206,해남군,김경희,고당보건진료소,전라남도 해남군 문내면 문내화원로541,061-532-1518,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
207,해남군,서영숙,산호보건진료소,전라남도 해남군 화원면 개초길317,061-533-4519,1차진료+건강증진사업,09:00~18:00,육지,2021-08-01
208,영암군,류덕희,장암보건진료소,전라남도 영암군 영암읍마당바우로 105,061-473-2348,1차진료+건강증진사업,09:00~18:00,,2021-08-01
209,영암군,이송순,용산보건진료소,전라남도 영암군 덕진면용동길 91-80,061-473-2683,1차진료+건강증진사업,09:00~18:00,,2021-08-01
210,영암군,김혜란,남송보건진료소,전라남도 영암군 금정면남송길 27,061-472-1406,1차진료+건강증진사업,09:00~18:00,,2021-08-01
211,영암군,류덕희,갈곡보건진료소,전라남도 영암군 신북면차릿길 1-8,061-472-8915,1차진료+건강증진사업,09:00~18:00,,2021-08-01
212,영암군,이영희,월악보건진료소,전라남도 영암군 시종면금지로 65,061-472-7714,1차진료+건강증진사업,09:00~18:00,,2021-08-01
213,영암군,이소영,신학보건진료소,전라남도 영암군 시종면신학1로 9,061-472-5884,1차진료+건강증진사업,09:00~18:00,,2021-08-01
214,영암군,정은지,해창보건진료소,전라남도 영암군 군서면온천로 172,061-472-1271,1차진료+건강증진사업,09:00~18:00,,2021-08-01
215,영암군,조순기,모정보건진료소,전라남도 영암군 군서면영산로 2293,061-472-0423,1차진료+건강증진사업,09:00~18:00,,2021-08-01
216,영암군,윤영내,금강보건진료소,전라남도 영암군 서호면금강로 16,061-472-6819,1차진료+건강증진사업,09:00~18:00,,2021-08-01
217,영암군,박선영,용소보건진료소,전라남도 영암군 학산면천혜길 41,061-472-4276,1차진료+건강증진사업,09:00~18:00,,2021-08-01
218,영암군,김효빈,은곡보건진료소,전라남도 영암군 학산면은곡길 48-7,061-472-5297,1차진료+건강증진사업,09:00~18:00,,2021-08-01
219,영암군,신윤경,신포보건진료소,전라남도 영암군 미암면곤미현길 367,061-472-4318,1차진료+건강증진사업,09:00~18:00,,2021-08-01
220,영암군,박경희,미암보건진료소,전라남도 영암군 미암면미촌길 45,061-472-4882,1차진료+건강증진사업,09:00~18:00,,2021-08-01
221,무안군,박현숙,죽산보건진료소, 전라남도 무안군 일로읍 죽산길 3,061-281-2913,1차진료+건강증진사업,09:00~18:00,,2021-08-01
222,무안군,정인숙,광암보건진료소, 전라남도 무안군 일로읍 삼산로 94,061-282-3232,1차진료+건강증진사업,09:00~18:00,,2021-08-01
223,무안군,박우리,사창보건진료소, 전라남도 무안군 몽탄면 우명길 109,061-452-3808,1차진료+건강증진사업,09:00~18:00,,2021-08-01
224,무안군,전희애,봉명보건진료소, 전라남도 무안군 몽탄면 봉명양장로 262,061-452-3909,1차진료+건강증진사업,09:00~18:00,,2021-08-01
225,무안군,이운아,도대보건진료소,전라남도 무안군 청계면 청운로 402,061-452-5820,1차진료+건강증진사업,09:00~18:00,,2021-08-01
226,무안군,문순미,해운보건진료소,전라남도 무안군 현경면 장군로 687,061-453-6302,1차진료+건강증진사업,09:00~18:00,,2021-08-01
227,무안군,이윤영,송현보건진료소,전라남도 무안군 망운면 서은길 2,061-452-1945,1차진료+건강증진사업,09:00~18:00,,2021-08-01
228,무안군,김명자,만풍보건진료소,전라남도 무안군 해제면 진목길 2,061-454-6796,1차진료+건강증진사업,09:00~18:00,,2021-08-01
229,무안군,고성훈,천장보건진료소,전라남도 무안군 해제면 창매로 23,061-452-7721,1차진료+건강증진사업,09:00~18:00,,2021-08-01
230,무안군,김민경,학송보건진료소,전라남도 무안군 해제면 봉대로 414,061-454-7397,1차진료+건강증진사업,09:00~18:00,,2021-08-01
231,무안군,김혜원,성내보건진료소,전라남도 무안군 운남면 항장길 3,061-452-4709,1차진료+건강증진사업,09:00~18:00,,2021-08-01
232,함평군,신미경,삼정보건진료소,전라남도 함평군 함평읍 함장로 675-13,061-322-2198,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
233,함평군,이주희,석성보건진료소,전라남도 함평군 함평읍 돌머리길 468,061-322-9374,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
234,함평군,정은경,산남보건진료소,전라남도 함평군 손불면 석산로 516,061-322-4741,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
235,함평군,변은혜,월천보건진료소,전라남도 함평군 손불면 손무로 1050,061-324-4740,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
236,함평군,강승희,죽장보건진료소,전라남도 함평군 손불면 죽암죽장길 356,061-322-4742,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
237,함평군,이건희,동정보건진료소,전라남도 함평군 신광면 군유로 436,061-322-5493,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
238,함평군,김주희,금송보건진료소,전라남도 함평군 학교면 중천포로 457,061-322-6907,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
239,함평군,정미혜,복천보건진료소,전라남도 함평군 학교면 고막천로 817,061-322-6712,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
240,함평군,이혜영,영흥보건진료소,전라남도 함평군 엄다면 영흥길 78-19,061-322-7612,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
241,함평군,심연숙,금곡보건진료소,전라남도 함평군 대동면 옥동길 43,061-322-8838,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
242,함평군,박현미,덕산보건진료소,전라남도 함평군 대동면 외덕길 3,061-322-1624,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
243,함평군,김보람,용두보건진료소,전라남도 함평군 나산면 회화정길 17,061-322-8839,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
244,함평군,조영애,대각보건진료소,전라남도 함평군 해보면 올림픽로 1018,061-322-1833,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
245,함평군,이귀덕,계림보건진료소,전라남도 함평군 월야면 금치죽림길 4-6,061-323-1854,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
246,함평군,정성자,양정보건진료소,전라남도 함평군 월야면 갈동길 25,061-323-1853,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
247,함평군,정삼숙,정산보건진료소,전라남도 함평군 월야면 해삼로 602,061-323-1852,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021-08-01
248,영광군,정옥자,하사보건진료소,전라남도 영광군 백수읍 하사 3길 17 ,061-352-6165,1차진료+건강증진사업,09:00~18:00,,2021-08-01
249,영광군,김하늘,논산보건진료소,전라남도 영광군 군서면 성지로 864,061-353-5993,1차진료+건강증진사업,09:00~18:00,,2021-08-01
250,영광군,,대신보건진료소,전라남도 영광군 백수읍 대신 1길 1 ,061-352-6918,1차진료+건강증진사업,09:00~18:00,,2021-08-01
251,영광군,봉혜련,가곡보건진료소,전라남도 영광군 홍농읍 샘목로 602 ,061-356-0403,1차진료+건강증진사업,09:00~18:00,,2021-08-01
252,영광군,김선미,동부보건진료소,전라남도 영광군 대마면 영장로 10길 86,061-352-3584,1차진료+건강증진사업,09:00~18:00,,2021-08-01
253,영광군,신성순,삼효보건진료소,전라남도 영광군 묘량면 동삼로 319 ,061-352-5700,1차진료+건강증진사업,09:00~18:00,,2021-08-01
254,영광군,박미령,모악보건진료소,전라남도 영광군 불갑면 불갑사로 2길 3-2,061-352-7933,1차진료+건강증진사업,09:00~18:00,,2021-08-01
255,영광군,장경선,덕산보건진료소,전라남도 영광군 군서면 삼산로 306 ,061-352-4489,1차진료+건강증진사업,09:00~18:00,,2021-08-01
256,영광군,나은미,반안보건진료소,전라남도 영광군 군남면 봉덕로 7길 10,061-352-4734,1차진료+건강증진사업,09:00~18:00,,2021-08-01
257,영광군,김정란,야월보건진료소,전라남도 영광군 염산면 칠산로 552-4,061-352-9424,1차진료+건강증진사업,09:00~18:00,,2021-08-01
258,영광군,김순미,월산보건진료소,전라남도 영광군 법성면 용성월산로 2길 238,061-353-2231,1차진료+건강증진사업,09:00~18:00,,2021-08-01
259,영광군,채예숙,송이보건진료소,전라남도 영광군 낙월면 송이길 33-7,061-353-0687,1차진료+건강증진사업,09:00~18:00,도서,2021-08-01
260,영광군,김용자,안마보건진료소,전라남도 영광군 낙월면 안마 1길 22 ,061-352-3266,1차진료+건강증진사업,09:00~18:00,도서,2021-08-01
261,장성군,양미란,용산보건진료소,전라남도 장성군 진원면 용산두월길 4,061-393-4858,1차진료+건강증진사업,09:00~18:00,,2021-08-01
262,장성군,김순자,마령보건진료소,전라남도 장성군 남면 백운길 12,061-394-2936,1차진료+건강증진사업,09:00~18:00,,2021-08-01
263,장성군,이선옥,월산보건진료소,전라남도 장성군 동화면 동화로 121,061-392-8161,1차진료+건강증진사업,09:00~18:00,,2021-08-01
264,장성군,김보미,서부보건진료소,전라남도 장성군 삼서면 소도길 1,061-394-2375,1차진료+건강증진사업,09:00~18:00,,2021-08-01
265,장성군,심정현,보생보건진료소,전라남도 장성군 삼서면 보강길 3,061-394-2420,1차진료+건강증진사업,09:00~18:00,,2021-08-01
266,장성군,이미남,두월보건진료소,전라남도 장성군 삼서면 태산로 279,061-392-2278,1차진료+건강증진사업,09:00~18:00,,2021-08-01
267,장성군,이한솔,생촌보건진료소,전라남도 장성군 삼계면 생촌길 82,061-393-6188,1차진료+건강증진사업,09:00~18:00,,2021-08-01
268,장성군,김제인,필암보건진료소,전라남도 장성군 황룡면 홍길동로 175,061-393-5859,1차진료+건강증진사업,09:00~18:00,,2021-08-01
269,장성군,박서연,모암보건진료소,전라남도 장성군 서삼면 주암길 13,061-393-3865,1차진료+건강증진사업,09:00~18:00,,2021-08-01
270,장성군,박상희,신월보건진료소,전라남도 장성군 북이면 월하길 39,061-392-8439,1차진료+건강증진사업,09:00~18:00,,2021-08-01
271,장성군,김선진,대악보건진료소,전라남도 장성군 북하면 대악길 6,061-392-0306,1차진료+건강증진사업,09:00~18:00,,2021-08-01
272,완도군,이수미,사동보건진료소, 전라남도 완도군 금일읍 금일로 1001번길 46-10 ,061-550-6197,1차진료+건강증진사업,09:00~18:00,,2021-08-01
273,완도군,안유영,충도보건진료소,전라남도 완도군 금일읍 금일충도길 24,061-550-6199,1차진료+건강증진사업,09:00~18:00,,2021-08-01
274,완도군,유선,소랑보건진료소,전라남도 완도군 금일읍 금일로 1207,061-550-6198,1차진료+건강증진사업,09:00~18:00,,2021-08-01
275,완도군,손효진,동부보건진료소,전라남도 완도군 노화읍 노화로 304번길 10,061-550-6267,1차진료+건강증진사업,09:00~18:00,,2021-08-01
276,완도군,정명숙,서넙도보건진료소,전라남도 완도군 노화읍 서넙도길 26-1,061-550-6268,1차진료+건강증진사업,09:00~18:00,,2021-08-01
277,완도군,김수연,고마보건진료소,전라남도 완도군 군외면 고마도길 53,061-550-6347,1차진료+건강증진사업,09:00~18:00,,2021-08-01
278,완도군,김화숙,사후보건진료소,전라남도 완도군 군외면 사후도길 46,061-550-6348,1차진료+건강증진사업,09:00~18:00,,2021-08-01
279,완도군,임하얀,동고보건진료소,전라남도 완도군 신지면 신지로 1275,061-550-6369,1차진료+건강증진사업,09:00~18:00,,2021-08-01
280,완도군,정희정,덕동보건진료소,전라남도 완도군 고금면 고금동로 678번길 32,061-550-6417,1차진료+건강증진사업,09:00~18:00,,2021-08-01
281,완도군,이순자,해동보건진료소,전라남도 완도군 약산면 약산로 688번길 21,061-550-6469,1차진료+건강증진사업,09:00~18:00,,2021-08-01
282,완도군,허경자,여서보건진료소,전라남도 완도군 청산면 여서도길 29-4,061-550-6497,1차진료+건강증진사업,09:00~18:00,,2021-08-01
283,완도군,임선영,모도보건진료소,전라남도 완도군 청산면 대모도길 373,061-550-6498,1차진료+건강증진사업,09:00~18:00,,2021-08-01
284,완도군,조진희,진산보건진료소,전라남도 완도군 소안면 소안로 791번길 29-1,061-550-6567,1차진료+건강증진사업,09:00~18:00,,2021-08-01
285,완도군,박소현,횡간보건진료소,전라남도 완도군 소안면 횡간도길 34,061-550-6568,1차진료+건강증진사업,09:00~18:00,,2021-08-01
286,완도군,이고은,삼산보건진료소,전라남도 완도군 금당면 금당로 321번길 102-1,061-550-6588,1차진료+건강증진사업,09:00~18:00,,2021-08-01
287,완도군,안경연,정자보건진료소,전라남도 완도군 보길면 보길로 527,061-550-6627,1차진료+건강증진사업,09:00~18:00,,2021-08-01
288,완도군,김보람,중리보건진료소,전라남도 완도군 보길면 보길동로 377번길 1-1,061-550-6628,1차진료+건강증진사업,09:00~18:00,,2021-08-01
289,완도군,차애경,덕우보건진료소,전라남도 완도군 생일면 덕우도길 18-7,061-550-6677,1차진료+건강증진사업,09:00~18:00,,2021-08-01
290,진도군,조해인,녹진보건진료소,전라남도 진도군 군내면 대야길 23,061-542-6234,내과,09:00~18:00,,2021-08-01
291,진도군,장은지,회동보건진료소,전라남도 진도군 고군면 진도대로 1528,061-542-6013,내과,09:00~18:00,,2021-08-01
292,진도군,이선경,금갑보건진료소,전라남도 진도군 의신면 금갑길 83-6,061-544-1103,내과,09:00~18:00,,2021-08-01
293,진도군,김명수,죽림보건진료소,전라남도 진도군 임회면 현복동길 24,061-544-0953,내과,09:00~18:00,,2021-08-01
294,진도군,이문자,광석보건진료소,전라남도 진도군 임회면 호구동길 31-3,061-543-6020,내과,09:00~18:00,,2021-08-01
295,진도군,강선희,연동보건진료소,전라남도 진도군 임회면 진도대로 5179-11,061-544-1875,내과,09:00~18:00,,2021-08-01
296,진도군,김미정,길은보건진료소,전라남도 진도군 지산면 거제길은로 277,061-543-2596,내과,09:00~18:00,,2021-08-01
297,진도군,박미정,가치보건진료소,전라남도 진도군 지산면 가치길 74-4,061-543-2911,내과,09:00~18:00,,2021-08-01
298,진도군,윤희정,상조도보건진료소,전라남도 진도군 조도면 조도대로 1298,061-542-1608,내과,09:00~18:00,,2021-08-01
299,진도군,김나나,가사도보건진료소,전라남도 진도군 조도면 가사도길 102,061-542-5693,내과,09:00~18:00,,2021-08-01
300,진도군,손유라,관매도보건진료소,전라남도 진도군 조도면 관매도길 65,061-544-8688,내과,09:00~18:00,,2021-08-01
301,진도군,최유미자,관사도보건진료소,전라남도 진도군 조도면 관사도관작길 36,061-544-5867,내과,09:00~18:00,,2021-08-01
302,진도군,이순태,대마도보건진료소,전라남도 진도군 조도면 대마도길 71-6,061-544-6624,내과,09:00~18:00,,2021-08-01
303,진도군,황광옥,동거차보건진료소,전라남도 진도군 조도면 동거차동육길 58-9,061-544-6930,내과,09:00~18:00,,2021-08-01
304,진도군,유경희,서거차보건진료소,전라남도 진도군 조도면 서거차도리 62-3,061-544-6865,내과,09:00~18:00,,2021-08-01
305,신안군,김주연,선도보건진료소,전라남도 신안군 지도읍 선도길 14-4,061-246-2263,내과+외과+소아과,09:00~18:00,,2021-08-01
306,신안군,임은진,어의도보건진료소,전라남도 신안군 지도읍 어의길 91-5,061-275-8127,내과+외과+소아과,09:00~18:00,,2021-08-01
307,신안군,이형심,매화도보건진료소,전라남도 신안군 압해읍 매화길 698,061-246-2625,내과+외과+소아과,09:00~18:00,,2021-08-01
308,신안군,안은희,고이도보건진료소,전라남도 신안군 압해읍 고이길 34,061-246-3983,내과+외과+소아과,09:00~18:00,,2021-08-01
309,신안군,이정옥,가란도보건진료소,전라남도 신안군 압해읍 가란길 168,061-271-3736,내과+외과+소아과,09:00~18:00,,2021-08-01
310,신안군,강인숙,병풍도보건진료소,전라남도 신안군 증도면 병풍1길 38,061-246-2264,내과+외과+소아과,09:00~18:00,,2021-08-01
311,신안군,김인순,재원도보건진료소,전라남도 신안군 임자면 재원길 23-10,061-275-0280,내과+외과+소아과,09:00~18:00,,2021-08-01
312,신안군,박성희,수치도보건진료소,전라남도 신안군 비금면 수치도길 233,061-262-2195,내과+외과+소아과,09:00~18:00,,2021-08-01
313,신안군,이현숙,우이도보건진료소,전라남도 신안군 도초면 우이진리길 41-8,061-261-1428,내과+외과+소아과,09:00~18:00,,2021-08-01
314,신안군,박해련,태도보건진료소,전라남도 신안군 흑산면 장굴길 49-1,061-246-2762,내과+외과+소아과,09:00~18:00,,2021-08-01
315,신안군,안은희,대둔도보건진료소,전라남도 신안군 흑산면 김이수길 22-4,061-246-2009,내과+외과+소아과,09:00~18:00,,2021-08-01
316,신안군,구인숙,다물도보건진료소,전라남도 신안군 흑산면 다물도길 75,061-246-2059,내과+외과+소아과,09:00~18:00,,2021-08-01
317,신안군,박몽실,영산도 보건진료소,전라남도 신안군 흑산면 영산길 71-3,061-275-9964,내과+외과+소아과,09:00~18:00,,2021-08-01
318,신안군,신종섭,만재도보건진료소,전라남도 신안군 흑산면 만재도길 88-1,061-275-0375,내과+외과+소아과,09:00~18:00,,2021-08-01
319,신안군,이현숙,장도보건진료소,전라남도 신안군 흑산면 장도길 51-1,061-275-0357,내과+외과+소아과,09:00~18:00,,2021-08-01
320,신안군,김혜월,능산도보건진료소,전라남도 신안군 하의면 능뫼큰길 5-18,061-275-3888,내과+외과+소아과,09:00~18:00,,2021-08-01
321,신안군,양미애,옥도보건진료소,전라남도 신안군 하의면 옥도길 80-8,061-262-3980,내과+외과+소아과,09:00~18:00,,2021-08-01
322,신안군,이미진,마진도보건진료소,전라남도 신안군 장산면 마진도길 48-9,061-262-3975,내과+외과+소아과,09:00~18:00,,2021-08-01
323,신안군,박수미,반월도보건진료소,전라남도 신안군 안좌면 반월도길 211,061-262-8734,내과+외과+소아과,09:00~18:00,,2021-08-01
324,신안군,윤현,자라도보건진료소,전라남도 신안군 안좌면 자라도길 16,061-262-4381,내과+외과+소아과,09:00~18:00,,2021-08-01
325,신안군,이미자,당사도보건진료소,전라남도 신안군 암태면 당사도길 58-29,061-246-2711,내과+외과+소아과,09:00~18:00,,2021-08-01
326,신안군,장효숙,사리보건진료소,전라남도 신안군 흑산면 흑산일주로 1501,061-246-2040,내과+외과+소아과,09:00~18:00,,2021-08-01
327,신안군,박경자,추포도보건진료소,전라남도 신안군 암태면 승봉로 491,061-261-1606,내과+외과+소아과,09:00~18:00,,2021-08-01
