,Unnamed: 0,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
1,1,365 우리약국,전라남도 나주시 전력로 2 이화플라자 1층,061-333-8228,126.785331,35.0215717,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,09:00~22:00,09:00~22:00
2,2,365보배약국,"전라남도 순천시 봉화2길 99, 2층 (조례동)",061-722-1172,127.5178406,34.9617115,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,13:00~22:00,13:00~22:00
3,3,365웃장대형약국,"전라남도 순천시 중앙로 136, (매곡동)",061-753-5522,127.4844433,34.9577919,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00,09:00~22:00
4,4,365일 정성약국,전라남도 여수시 장성3길 52 (안산동),061-685-1055,127.6540322,34.7543181,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
5,5,365일연향대형약국,"전라남도 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",061-746-3651,127.5168796,34.950915,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
6,6,365종로약국,"전라남도 나주시 대호길 85-1, 1층 (대호동)",061-000-0000,126.7166564,35.0425364,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,14:00~20:00,14:00~20:00
9,9,가까운평화약국,"전라남도 순천시 해룡면 순광로 234-9, 가동 1층 101호",061-721-7500,127.5452672,34.9635348,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~17:00,10:00~17:00,10:00~17:00
28,28,건강약국,"전라남도 강진군 강진읍 영랑로3길 29-1,",061-434-3309,126.771169,34.6396354,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,08:30~21:00
49,49,공한약국,전라남도 여수시 충무5길 14 (충무동),061-662-0255,127.7297402,34.7422086,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,10:00~24:00,10:00~24:00
60,60,광주약국,전라남도 영광군 영광읍 현암길 58,061-351-2228,126.5108281,35.2757235,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30
74,74,굿모닝약국,"전라남도 나주시 빛가람로 677, 104~105호 (빛가람동)",061-333-7990,126.7858398,35.0215108,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~22:00,10:00~22:00
83,83,금일건강약국,전라남도 완도군 금일읍 금일로 400,061-552-1940,127.0299737,34.349104,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,16:00~20:00,07:30~20:00
119,119,녹십자약국,전라남도 신안군 흑산면 예리1길 60,061-275-8600,125.4443382,34.6845328,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~17:00,09:00~18:00,08:00~17:00
124,124,누엘약국,전라남도 순천시 조례1길 10-26 (조례동),061-723-2843,127.5222126,34.9599395,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~17:30,09:00~12:30,09:00~12:30
132,132,다나약국,"전라남도 화순군 화순읍 중앙로 19,",061-371-1413,126.983617,35.0605801,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:00~18:00,10:00~18:00
133,133,다나약국,전라남도 목포시 용당로 322-3 (용해동),061-276-1133,126.4008582,34.8160317,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
135,135,다나은약국,전라남도 목포시 이로로9번길 6,061-277-5200,126.4059495,34.8042982,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30
146,146,담양종로약국,"전라남도 담양군 담양읍 중앙로 29-1,",061-381-0501,126.9835749,35.3159217,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~20:00
157,157,대성약국,전라남도 강진군 강진읍 탐진로 6,061-432-3000,126.7584209,34.6358733,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
159,159,대성약국,전라남도 여수시 중앙로 24-1 (교동),061-663-6981,127.7302492,34.7401603,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~21:00,08:00~20:00
168,168,대창약국,전라남도 해남군 해남읍 중앙2로 124,061-536-4992,126.5953372,34.5672293,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00
210,210,메디타운정겨운약국,"전라남도 순천시 신월큰길 13, 1층 (조례동)",061-804-5188,127.5198452,34.9604482,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,09:00~13:00,09:00~13:00
213,213,메디팜명문약국,"전라남도 목포시 이로로 14, (용해동)",061-274-1985,126.405621,34.8043817,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00
224,224,메디팜현대약국,"전라남도 목포시 부흥로 86, 102호 (옥암동,부영2차아파트 상가)",061-283-0008,126.4306256,34.8032947,08:30~21:30,08:30~21:30,08:30~19:30,08:30~21:30,08:30~21:30,08:30~21:30,13:00~21:30,08:30~21:30
226,226,명성온누리약국,전라남도 순천시 봉화3길 14 (조례동),061-723-6669,127.519985,34.9632456,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,15:00~20:00,08:30~20:00
227,227,명신약국,전라남도 영광군 영광읍 중앙로 165,061-351-3019,126.51181,35.2736786,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00
232,232,목포광주약국,전라남도 목포시 해안로229번길 2-1,061-243-1101,126.3867961,34.7857881,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,08:00~12:00,08:00~17:00
234,234,목포하나로약국,전라남도 목포시 선곡로 33 (석현동),061-281-1895,126.4285427,34.8190883,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00
261,261,바른약국,전라남도 광양시 사동로 187 (마동),061-795-1058,127.6906481,34.9548952,08:30~19:00,08:30~19:00,08:30~19:00,14:00~19:00,08:30~19:00,09:00~13:00,13:00~17:00,09:00~13:00
266,266,밝은약국,전라남도 순천시 이수로 317,061-721-5464,127.5183727,34.9541238,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,09:00~12:00,09:00~12:00
277,277,백운약국,전라남도 여수시 여서1로 52 (여서동),061-655-2999,127.7036214,34.7521617,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,08:30~24:00
284,284,베스트약국,전라남도 순천시 해룡면 지봉로 372-1,061-724-8566,127.534008,34.9467065,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
288,288,보건당약국,"전라남도 나주시 남교1길 1 (이창동, 보건당약국)",061-333-3350,126.7145457,34.9959541,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,09:00~19:00,09:00~19:00
293,293,보문약국,"전라남도 순천시 황전면 괴목길 87,",061-754-9798,127.4296268,35.103123,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,09:00~13:00,08:30~21:00
297,297,복음사랑약국,전라남도 목포시 백년대로297번길 8,061-281-6900,126.4199034,34.804531,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~21:00,09:00~18:00,09:00~18:00
300,300,봄봄약국,"전라남도 순천시 봉화3길 14-28, 1층 105호 (조례동)",061-725-1006,127.5209162,34.9637371,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,09:00~13:00,09:00~13:00
311,311,비타민약국,"전라남도 목포시 하당로 278, (옥암동)",061-284-7571,126.426418,34.8110715,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~18:00,22:00~24:00,22:00~24:00
314,314,빛가람포도약국,"전라남도 나주시 중야2길 29, 103,104,105호 (빛가람동)",061-820-8484,126.7846457,35.0171245,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~17:00,09:00~17:00
339,339,새금일약국,전라남도 완도군 금일읍 금일로 391 (),061-553-2107,127.0292667,34.3493135,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~19:00,08:00~18:00
373,373,서울약국,전라남도 목포시 용당로 232 (용당동),061-274-4546,126.3987365,34.8075996,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~19:00,10:00~18:00,10:00~18:00
384,384,성모약국,전라남도 순천시 해룡면 순광로 220,061-724-5707,127.5426906,34.963105,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,17:00~22:30,17:00~22:30
392,392,세계로약국,"전라남도 여수시 여서로 158, (여서동)",061-653-9777,127.6991323,34.7479166,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:30~22:00,08:30~22:00
394,394,세명약국,전라남도 순천시 호남길 3 (행동),061-752-3334,127.4837284,34.9569146,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,08:00~22:00,08:00~22:00,08:00~22:00
405,405,센트럴약국,전라남도 목포시 백년대로 304 1층 (상동),061-981-7588,126.4210695,34.8037227,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,09:00~13:00,09:00~12:30
420,420,솔약국,"전라남도 화순군 화순읍 진각로 113-1, 1층 (화순읍)",061-373-1464,126.9856653,35.0614404,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30
424,424,송약국,전라남도 장흥군 회진면 가학회진로 1614,061-867-5035,126.9402861,34.4831452,05:00~21:00,05:00~21:00,05:00~21:00,05:00~21:00,05:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00
431,431,수약국,"전라남도 목포시 원형서로 15, 롯데마트목포점 (상동)",061-284-3138,126.4294674,34.7972255,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00
439,439,순천플러스큰약국,"전라남도 순천시 신월큰길 7, 나동 1층 (조례동)",061-727-7505,127.520347,34.960469,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~20:00,09:00~18:00,09:00~18:00
460,460,신세계약국,"전라남도 화순군 화순읍 광덕로 177,",061-374-7770,126.9921815,35.0606496,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,09:00~21:00
477,477,아이사랑약국,"전라남도 나주시 문화로 216, 101~102호 (빛가람동)",061-930-6383,126.7851801,35.0177883,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,09:00~19:00,09:00~19:00
478,478,아이팜약국,"전라남도 목포시 백년대로 420, (옥암동)",061-283-7144,126.4319785,34.8090868,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,09:00~17:00,09:00~17:00,09:00~17:00
479,479,아페약국,전라남도 여수시 학동1길 26-1 (학동),061-691-2125,127.6639891,34.7659372,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00
487,487,양약건민대형약국,전라남도 순천시 중앙로 83,061-745-2525,127.4836888,34.9530447,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
499,499,여신당한약국,"전라남도 화순군 화순읍 노대길 39-1, 1층 (화순읍)",061-373-8588,126.9905892,35.0575029,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~12:00,09:00~12:00
501,501,여천좌수영약국,"전라남도 여수시 흥국로 98, (신기동)",061-692-5500,127.6729179,34.7613522,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,10:00~21:00,10:00~21:00
508,508,열린약국,"전라남도 목포시 옥암로 147, 1층 (상동)",061-287-5004,126.4233809,34.8116003,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,09:00~17:00,09:00~17:00
529,529,오가네약국,전라남도 순천시 해룡면 신대로 116,061-724-5505,127.5492316,34.933815,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00
530,530,오렌지 은 약국,전라남도 여수시 시청로 34 (학동),061-685-9400,127.6633397,34.764728,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~22:00,08:30~22:00,15:00~22:00,08:30~22:00
545,545,온누리시장약국,"전라남도 광양시 공영로 73, (중동)",061-792-7060,127.69716,34.9360437,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~18:00,09:00~21:00,09:00~18:00
598,598,율전약국,전라남도 목포시 부흥로 31 (상동),061-282-7501,126.4251687,34.801381,08:50~20:00,08:50~20:00,08:50~20:00,08:50~20:00,08:50~20:00,08:50~19:00,11:30~19:00,08:50~19:00
600,600,으뜸약국,전라남도 영암군 영암읍 낭주로 173,061-471-7684,126.7002671,34.8034185,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,22:00~25:00,22:00~25:00,22:00~25:00
607,607,은혜약국,전라남도 순천시 팔마로 126 (조곡동),061-746-3375,127.5017768,34.944952,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~15:30,07:00~11:00,07:00~13:00
616,616,이화약국,전라남도 나주시 나주로 190 (중앙동),061-333-6789,126.7217332,35.0337735,08:20~20:00,08:20~20:00,08:20~20:00,08:20~20:00,08:20~20:00,08:20~19:00,09:30~14:00,09:00~18:00
624,624,인제약국,"전라남도 영광군 영광읍 신남로 186,",061-351-2435,126.5024455,35.2757985,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,10:00~19:00,10:00~19:00,10:00~19:00
630,630,임약국,"전라남도 여수시 신월로 735-2, (봉산동)",061-642-0898,127.720651,34.7362034,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~16:00,14:00~18:00,08:30~13:00
643,643,전남약국,"전라남도 무안군 무안읍 무안중앙로 11,",061-452-8433,126.4776825,34.9885335,08:00~18:30,08:00~18:30,08:00~18:30,08:00~20:40,08:00~18:30,08:00~15:00,09:30~16:00,08:30~16:00
647,647,전남제일약국,전라남도 여수시 시청로 41,061-681-5354,127.6624481,34.765352,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00
659,659,정약국,"전라남도 순천시 이수로 305, 1층 (조례동)",061-726-1233,127.5172374,34.9533732,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,10:00~13:00,09:00~13:00
697,697,좌수영약국,전라남도 여수시 여서1로 73 (여서동),061-653-8881,127.7051751,34.7534434,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:00,10:00~21:00,09:00~21:00
706,706,중앙약국,전라남도 무안군 해제면 봉대로 31,061-452-6107,126.2940658,35.1130871,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,11:00~20:00,09:00~20:00
710,710,지도중앙약국,전라남도 신안군 지도읍 봉리길 16-1 (지도읍),061-275-0107,126.2113431,35.0605919,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,07:30~21:00,08:00~20:00,08:00~20:00
718,718,진약국,전라남도 화순군 화순읍 자치샘로 23 (화순읍),061-374-2393,126.9839203,35.0624703,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~17:00,09:30~14:00,08:30~16:00
726,726,참조은약국,"전라남도 무안군 삼향읍 대죽동로 30, 1층 (삼향읍)",061-283-0223,126.4644406,34.8111948,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,09:00~17:00,09:00~17:00,09:00~17:00
774,774,편안한약국,"전라남도 여수시 망마로 40, 1층 1호 (학동)",061-692-6267,127.6670622,34.7592674,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00
790,790,플러스조은약국,전라남도 순천시 신월큰길 7 (조례동) 가동1층,061-727-6900,127.520347,34.960469,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,10:00~16:00,10:00~18:00
796,796,하나로약국,전라남도 완도군 완도읍 청해진동로 66,061-554-2526,126.7359414,34.3176619,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:30~20:30,08:00~20:00
797,797,하나로약국,"전라남도 순천시 연향중앙상가길 29, (연향동)",061-723-0313,127.5201407,34.9510509,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~22:00,09:00~22:00
817,817,한마음약국,"전라남도 순천시 장선배기1길 9-4, 1층 (조례동)",061-725-1616,127.5220579,34.9536033,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,09:00~13:00
818,818,한마음약국,전라남도 목포시 백년대로 331-1 (상동),061-2841-820,126.4235208,34.8055528,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~18:30,09:00~18:30,09:00~18:30
823,823,한사랑약국,"전라남도 목포시 백년대로 391, 1층 (옥암동)",061-802-2100,126.4289425,34.8082908,08:30~19:30,08:30~20:00,08:30~19:30,08:30~19:30,08:30~19:30,08:30~15:00,09:00~12:00,09:00~12:00
860,860,현대온누리약국,"전라남도 순천시 장선배기1길 4, (조례동)",061-725-0500,127.5226678,34.9530489,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,09:00~13:00,09:00~13:00
866,866,호남약국,전라남도 목포시 영산로 95-2 (명륜동),061-279-5111,126.3856355,34.7911856,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~17:00,10:00~17:00,09:00~17:00
